Khái niệm \"đường bộ\" được hiểu như thế nào là đúng? Đường bộ gồm:|1- Đường, cầu đường bộ.|2- Hầm đường bộ, bến phà đường bộ.|3- Đường, cầu đường bộ, hầm đường bộ, bến phà đường bộ và các công trình phụ trợ khác.|||3|1|1|2|1|1
Khi tránh xe đi ngược chiều, các xe phải nhường đường như thế nào là đúng?|1- Nơi đường hẹp chỉ đủ cho một xe chạy và có chỗ tránh xe thì xe nào ở gần chỗ tránh hơn phải vào vị trí tránh, nhường đường cho xe kia đi.|2- Xe xuống dốc phải nhường đường cho xe đang lên dốc; xe nào có chướng ngại vật phía trước phải nhường đường cho xe không có chướng ngại vật đi trước.|3- Xe lên dốc phải nhường đường cho xe xuống dốc.|||3|1|1|1|1|1
Ban đêm xe cơ giới đi ngược chiều gặp nhau, đèn chiếu sáng phải được sử dụng như thế nào?|1- Phải chuyển từ đèn chiếu gần sang đèn chiếu xa.|2- Phải chuyển từ đèn chiếu xa sang đèn chiếu gần.||||2|1|1|1|1|1
Trên đường không phân chia thành hai chiều xe chạy riêng biệt, hai xe đi ngược chiều tránh nhau như thế nào?|1- Người điều khiển phải tăng tốc độ.|2- Người điều khiển phải cho xe đi về bên trái theo chiều xe chạy của mình.|3- Người điều khiển phải giảm tốc độ và cho xe đi về bên phải theo chiều xe chạy của mình.|||4|1|0|1|1|1
Bên trái đường một chiều, người lái xe có được dừng, đỗ xe hay không?|1- Được dừng, đỗ xe tuỳ từng trường hợp cụ thể nhưng phải đảm bảo an toàn.|2- Được dừng xe, không được đỗ xe.|3- Không được dừng xe, đỗ xe.|||4|1|0|1|1|1
Người lái xe được dừng xe, đỗ xe trong các trường hợp nào sau dây?|1- Trên đường có bề rộng đủ cho hai làn xe, ngoài phạm vi 5 mét hai bên cổng trụ sở cơ quan, tổ chức.|2- Trước cổng và trong phạm vi 5 mét hai bên cổng trụ sở cơ quan, tổ chức.|3- Trên đường có bề rộng đủ cho một làn xe, ngoài phạm vi 5 mét hai bên cổng trụ sở cơ quan, tổ chức.|||1|1|0|1|1|1
Người điều khiển phương tiện khi muốn dừng hoặc đỗ xe trên đường bộ phải thực hiện như thế nào?|1- Có tín hiệu báo cho người điều khiển phương tiện khác biết.|2- Cho xe dừng, đỗ ở nơi đã xây dựng các điểm dừng, đỗ xe; nơi có lề đường rộng hoặc khu đất ở bên ngoài phần đường xe chạy; trường hợp lề đường hẹp hoặc không có lề đường thì phải cho xe dừng, đỗ sát mép đường phía bên phải theo chiều đi của mình.||||3|1|0|1|1|1
Khi dừng xe, đỗ xe tại nơi được phép trên đường phố, người điều khiển phương tiện phải tuân theo những quy định nào ghi dưới đây?|1- Phải cho xe dừng, đỗ sát theo lề đường, hè phố phía bên trái theo chiều đi của mình; bánh xe gần nhất không được cách xa lề đường, hè phố quá 0,3 mét và không gây cản trở, nguy hiểm cho giao thông. Trường hợp đường phố hẹp, phải dừng xe, đỗ xe ở vị trí cách xe ô tô đang đỗ bên kia đường tối thiểu 15 mét.|2- Phải cho xe dừng, đỗ sát theo lề đường, hè phố phía bên phải theo chiều đi của mình; bánh xe gần nhất không được cách xa lề đường, hè phố quá 0,25 mét và không gây cản trở, nguy hiểm cho giao thông. Trường hợp đường phố hẹp, phải dừng xe, đỗ xe ở vị trí cách xe ô tô đang đỗ bên kia đường tối thiểu 20 mét.|3- Tất cả các ý nêu trên.|||2|1|0|1|1|1
Khi xếp hàng hóa vượt phía trước và phía sau của xe ô tô chở hàng tham gia giao thông, ban ngày và ban đêm phải có cờ, đèn báo hiệu như thế nào là đúng quy tắc giao thông?|1- Ban ngày phải có cờ báo hiệu màu xanh, ban đêm hoặc khi trời tối phải có đèn sáng báo hiệu.|2- Ban ngày phải có cờ báo hiệu màu đỏ, ban đêm hoặc khi trời tối phải có đèn đỏ báo hiệu.|3- Tất cả các ý nêu trên.|||2|1|0|1|1|1
Xe vận tải hàng có thùng cố định, bảo đảm an toàn giao thông được phép chở người trong những trường hợp nào?|1- Chở người đi làm nhiệm vụ phòng, chống thiên tai hoặc thực hiện nhiệm vụ khẩn cấp; chở cán bộ chiến sỹ của lực lượng vũ trang nhân dân đi làm nhiệm vụ; chở người bị nạn đi cấp cứu.|2- Chở công nhân duy tu, bảo dưỡng đường bộ; chở người đi học thực hành lái xe trên xe tập lái; chở người diễu hành theo đoàn; giải toả người ra khỏi khu vực nguy hiểm hoặc trong trường hợp khẩn cấp theo quy định của pháp luật.|3- Được phép chở người nhưng phải đảm bảo an toàn.|||3|1|0|1|1|1
Những loại xe nào khi đi làm nhiệm vụ khẩn cấp có tín hiệu còi, cờ, đèn theo quy đinh không bị hạn chế tốc độ, có thể đi vào đường ngược chiều, các đường khác có thể đi được và chỉ phải tuân theo chỉ dẫn của người điều khiển giao thông?|1 - Xe chữa cháy, xe hộ đê, xe công an, xe quân sự; đoàn xe đang diễu hành có tổ chức.|2- Xe chữa cháy, xe quân sự, xe công an, xe cứu thương đang thực hiện nhiệm vụ cấp cứu, xe hộ đê, đoàn xe có cảnh sát dẫn đường, xe đi làm nhiệm vụ khắc phục sự cố thiên tai, dịch bệnh hoặc xe đi làm nhiệm vụ trong tình trạng khẩn cấp theo quy định của pháp luật.|3- Xe chữa cháy, xe quân sự, xe công an, xe cứu thương, xe hộ đê, đoàn xe có cảnh sát dẫn đường, đoàn xe đang diễu hành có tố chức, đoàn xe tang, xe đang làm nhiệm vụ khắc phục sự cố thiên tai theo quy định của pháp luật.|||2|1|0|1|1|1
Khi có tín hiệu của xe ưu tiên, người tham gia giao thông phải làm gì?|1- Phải nhanh chóng giảm tốc độ, tránh hoặc dừng lại sát lề đường bên trái để nhường đường.|2- Phải nhanh chóng tăng tốc độ, tránh sát lề đường để nhường đường cho xe ưu tiên; cấm các hành vi gây cản trở xe ưu tiên.|3- Phải nhanh chóng giảm tốc độ, tránh hoặc dừng lại sát lề đường bên phải để nhường đường; không được gây cản trở xe được quyền ưu tiên.|||4|1|1|1|1|1
Thứ tự xe nào được quyền ưu tiên đi trước khi qua đường giao nhau?|1- Xe cứu thương đang thực hiện nhiệm vụ cấp cứu.|2- Xe quân sự, xe công an đi làm nhiệm vụ đặc biệt khẩn cấp; đoàn xe có cảnh sát dẫn đường.|3- Xe chữa cháy đi làm nhiệm vụ.|||4|1|0|1|1|1
Khi qua phà, qua cầu phao người lái xe phải làm gì để bảo đảm an toàn?|1- Đến bến phà, cầu phao các loại xe phải xếp hàng trật tự, đúng nơi quy định, không làm cản trở giao thông; xuống phà, đang ở trên phà và khi lên bến, mọi người phải xuống xe, trừ người điều khiển xe cơ giới, người bệnh, người già yếu và người khuyết tật.|2- Xe cơ giới phải xuống phà trước, xe thô sơ, người đi bộ xuống phà sau; khi lên bến, người đi bộ lên trước, các phương tiện giao thông lên sau theo hướng dẫn của người điều khiển giao thông.|3- Xe cơ giới phải xuống phà sau, xe thô sơ, người đi bộ xuống phà trước.|||3|1|0|1|1|1
Tại nơi đường giao nhau có báo hiệu đi theo vòng xuyến, người điều khiển phương tiện phải nhường đường như thế nào?|1- Phải nhường đường cho xe đi bên phải.|2- Xe báo hiệu xin đường trước xe đó được đi trước.|3- Phải nhường đường cho xe đi bên trái.|||4|1|1|1|1|1
Tại nơi đường giao nhau, người lái xe đang đi trên đường không ưu tiên phải nhường đường như thế nào?|1- Nhường đường cho xe đi ở bên phải mình tới.|2- Nhường đường cho xe đi ở bên trái mình tới.|3- Nhường đường cho xe đi trên đường ưu tiện hoặc đường chính từ bất kỳ hướng nào tới.|||4|1|1|1|1|1
Tại nơi đường giao nhau không có báo hiệu đi theo vòng xuyến, người điều khiển phương tiện phải nhường đường như thế nào là đúng quy tắc giao thông?|1- Phải nhường đường cho xe đi đến từ bên phải.|2- Xe báo hiệu xin đường trước xe đó được đi trước.|3- Phải nhường đường cho xe đi đến từ bên trái.|||1|1|1|1|1|1
Trên đoạn đường bộ giao nhau cùng mức với đường sắt, cầu đường bộ đi chung với đường sắt thì loại phương tiện nào được quyền ưu tiên đi trước?|1- Phương tiện nào bên phải không vướng.|2- Phương tiện nào ra tín hiệu xin đường trước.|3- Phương tiện giao thông đường sắt.|||4|1|1|1|1|1
Tại nơi đường bộ giao nhau cùng mức với đường sắt chỉ có đèn tín hiệu hoặc chuông báo hiệu, khi đèn tín hiệu màu đỏ đã bật sáng hoặc có tiếng chuông báo hiệu, người tham gia giao thông phải dừng lại ngay và giữ khoảng cách tối thiểu bao nhiêu mét tính từ ray gần nhất?|1- 5,00 m|2- 3,00 m|3- 4,00 m|4- 7,00 m||1|1|1|1|1|1
Người lái xe phải làm gì khi điều khiển xe vào đường cao tốc?|1 - Phải có tín hiệu xin vào và phải nhường đường cho xe đang chạy trên đường; khi thấy an toàn mới cho xe nhập vào dòng xe ở làn đường sát mép ngoài.|2- Phải có tín hiệu và tăng tốc độ vào đường cao tốc.|3- Nếu có làn đường tăng tốc thì phải cho xe chạy trên làn đường đó trước khi vào làn đường của đường cao tốc.|||5|1|1|1|1|1
Người lái xe phải làm gì khi điều khiển xe ra khỏi đường cao tốc?|1- Phải thực hiện chuyển dần sang làn đường phía bên phải, nếu có làn đường giảm tốc thì cho xe chạy trên làn đường đó trước khi rời khỏi đường cao tốc.|2- Phải thực hiện chuyển ngay sang các làn đường phía bên phải, nếu có làn đường giảm tốc thì phải cho xe chạy trên làn đường đó trước khi rời khỏi đường cao tốc.||||1|1|1|1|1|1
Trên đường cao tốc, người lái xe phải dừng xe, đỗ xe như thế nào?|1- Không được dừng xe, đỗ xe hoặc chỉ được dừng xe, đỗ xe ở nơi đường rộng, nếu dừng, đỗ xe ở nơi đường hẹp phải có báo hiệu để người lái xe khác biết.|2- Chỉ được dừng xe, đỗ xe ở nơi quy định, trường hợp buộc phải dừng xe, đỗ xe không đúng nơi quy định thì người lái xe phải đưa xe ra khỏi phần đường xe chạy, nếu không thể được thì phải báo hiệu để người lái xe khác biết.|3- Chỉ được dừng xe, đỗ xe ở nơi đường rộng; trường hợp dừng xe, đỗ xe tại nơi đường hẹp phải có báo hiệu để người lái xe khác biết để bảo đảm an toàn.|||2|1|0|1|1|1
Những trường hợp nào ghi ở dưới đây không được đi vào đường cao tốc trừ người, phương tiện, thiết bị phục vụ cho việc quản lý, bảo trì đường cao tốc?|1- Người đi bộ, xe thô sơ, xe gắn máy và xe ô tô.|2- Xe mô tô và xe máy chuyên dùng có tốc độ thiết kế lớn hơn 70km/h.|3- Người đi bộ, xe thô sơ, xe gắn máy, xe mô tô và xe máy chuyên dùng có tốc độ thiết kế nhỏ hơn 70km/h.|||4|1|1|1|1|1
Người điều khiển phương tiện tham gia giao thông trong hầm đường bộ ngoài việc phải tuân thủ các quy tắc giao thông còn phải thực hiện những quy định nào dưới đây?|1- Xe cơ giới, xe máy chuyên dùng phải bật đèn; xe thô sơ phải bật đèn hoặc có vật phát sáng báo hiệu; chỉ được dừng xe, đỗ xe ở nơi quy định.|2- Xe cơ giới phải bật đèn ngay cả khi đường hầm sáng; phải cho xe chạy trên một làn đường và chỉ chuyển làn ở nơi được phép; được quay đầu xe, lùi xe khi cần thiết.|3- Xe máy chuyên dùng phải bật đèn ngay cả khi đường hầm sáng; phải cho xe chạy trên một làn đường và chỉ chuyển làn ở nơi được phép; được quay đầu xe, lùi xe khi cần thiết.|||1|1|1|1|1|1
Xe quá tải trọng, quá khổ giới hạn tham gia giao thông cần tuân thủ quy định nào ghi ở dưới đây?|1- Phải được cơ quan quản lý đường bộ có thẩm quyền cấp phép và phải thực hiện các biện pháp bắt buộc để bảo vệ đường bộ, bảo đảm an toàn giao thông.|2- Chủ phương tiện và lái xe chỉ cần thực hiện biện pháp để hạn chế việc gây hư hại đường bộ.|3- Được tham gia giao thông khi cần thiết.|||1|1|0|1|1|1
Việc nối kéo với xe được kéo trong trường hợp hệ thống hãm của xe được kéo không còn hiệu lực thì phải dùng cách nào?|1- Dùng dây cáp có độ dài 10m.|2- Dùng dây cáp có độ dài 5m.|3- Dùng thanh nối cứng.|||4|1|0|1|1|1
Xe kéo rơ moóc khi tham gia giao thông phải tuân thủ điều kiện nào ghi ở dưới đây?|1- Phải có tổng trọng lượng lớn hơn tổng trọng lượng của rơ moóc hoặc phải có hệ thống hãm có hiệu lực cho rơ moóc.|2- Phải có tổng trọng lượng tương đương tổng trọng lượng của rơ moóc hoặc phải có hệ thống hãm của rơ moóc.||||1|1|0|1|1|1
Xe ô tô kéo xe khác thế nào là đúng quy tắc giao thông?|1- Được kéo theo một xe ô tô hoặc xe máy chuyên dùng khác khi xe này không tự chạy được và phải đảm bảo an toàn; xe được kéo phải có người điều khiển và hệ thống lái của xe đó phải còn hiệu lực.|2- Việc nối xe kéo với xe được kéo phải bảo đảm chắc chắn, an toàn; trường hợp hệ thống hãm của xe được kéo không còn hiệu lực thì xe kéo nhau phải nối bằng thanh nối cứng.|3- Được kéo thêm nhiều xe khác nhưng phải bảo đảm chắc chắn, an toàn; trường hợp hệ thống hãm của xe được kéo không còn hiệu lực thì xe kéo nhau phải nối bằng dây cáp có độ dài phù hợp.|||3|1|0|1|1|1
Người ngồi trên xe mô tô 2 bánh, xe mô tô 3 bánh, xe gắn máy phải đội mũ bảo hiểm có cài quai đúng quy cách khi nào?|1- Khi tham gia giao thông đường bộ.|2- Chỉ khi đi trên đường cao tốc.||||1|1|1|1|1|1
Người điều khiển xe mô tô hai bánh, xe gắn máy được phép chở tối đa 2 người trong những trường hợp nào?|1- Chở người bệnh đi cấp cứu; trẻ em dưới 14 tuổi.|2- Áp giải người có hành vi vi phạm pháp luật.||||3|1|1|1|1|1
Người điều khiển xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy không được thực hiện những hành vi nào dưới đây?|1- Đi xe dàn hàng ngang.|2- Đi xe vào phần đường dành cho người đi bộ và phương tiện khác; sử dụng ô, điện thoại di động, thiết bị âm thanh (trừ thiết bị trợ thính).|3- Chở người bệnh đi cấp cứu; trẻ em dưới 14 tuổi, áp giải người có hành vi vi phạm pháp luật.|||3|1|1|1|1|1
Người điều khiển, người ngồi trên xe đạp máy phải đội mũ bảo hiểm có cài quai đúng quy cách khi nào?|1- Khi tham gia giao thông đường bộ.|2- Chỉ khi tham gia giao thông trên đường quốc lộ, khu vực đô thị.||||1|1|1|1|0|1
Cơ quan nào quy định các đoạn đường cấm đi, đường đi một chiều, nơi cấm dừng, cấm đỗ, cấm quay đầu xe, lắp đặt báo hiệu đường bộ thuộc địa phương quản lý?|1- Cơ quan quản lý giao thông vận tải.|2- Ủy ban nhân dân cấp tỉnh.|3- Cơ quan cảnh sát giao thông đường bộ.|4- Thanh tra giao thông đường bộ.||2|1|1|1|1|1
Người điều khiển phương tiện và những người liên quan trực tiếp đến vụ tai nạn có trách nhiệm gì?|1- Dừng ngay phương tiện; giữ nguyên hiện trường; cấp cứu người bị nạn và phải có mặt khi cơ quan có thẩm quyền yêu cầu; cung cấp thông tin xác thực về vụ tai nạn cho cơ quan có thẩm quyền.|2- Ở lại nơi xảy ra tai nạn cho đến khi người của cơ quan công an đến, trừ trường hợp người điều khiển phương tiện cũng bị thương phải đưa đi cấp cứu hoặc phải đưa người bị nạn đi cấp cứu hoặc vì lý do bị đe dọa đến tính mạng, nhưng phải đến trình báo ngay với cơ quan công an nơi gần nhất.|3- Rời khỏi hiện trường nơi xảy ra tai nạn giao thông.|||3|1|1|1|1|1
Những người có mặt tại nơi xảy ra vụ tai nạn giao thông có trách nhiệm gì?|1- Bảo vê hiện trường, giúp đỡ, cứu chữa kịp thời người bị nạn, bảo vệ tài sản của người bị nạn.|2- Báo tin ngay cho cơ quan công an, y tế hoặc ủy ban nhân dân nơi gần nhất; cung cấp thông tin xác thực về vụ tai nạn theo yêu càu của cơ quan có thẩm quyền.||||3|1|1|1|1|1
Người phát hiện công trình đường bộ bị hư hỏng hoặc bị xâm hại, hành lang an toàn đường bộ bị lấn chiếm phải có trách nhiệm gì?|1- Kịp thời báo cho Ủy ban nhân dân, cơ quan quản lý đường bộ hoặc cơ quan công an nơi gần nhất để xử lý.|2- Trường hợp cần thiết phải có biện pháp báo hiệu ngay cho người tham gia giao thông biết.||||3|1|0|1|1|1
Khi điều khiển xe chạy trên đường, người lái xe phải mang theo các loại giấy tờ gì?|1- Giấy phép lái xe, đăng ký xe, giấy phép lưu hành xe.|2- Lệnh vận chuyển, đăng ký xe, giấy phép lưu hành xe.|3- Giấy phép lái xe phù hợp với loại xe đó, đăng ký xe, giấy chứng nhận kiểm định kỹ thuật và bảo vệ môi trường, giấy chứng nhận bảo hiểm trách nhiệm dân sự của chủ xe cơ giới và giấy phép vận chuyển (nếu loại xe đó cần phải có).|||4|1|1|1|1|1
Khi tập lái xe ô tô, người và xe tập lái phải đảm bảo các điều kiện gì?|1- Người tập lái xe phải thực hành lái xe trên xe tập lái và có giáo viên bảo trợ tay lái.|2- Xe tập lái phải có giấy chứng nhận kiểm định an toàn kỹ thuật và bảo vệ môi trường còn hiệu lực, có đủ hệ thống phanh phụ còn hiệu lực, thùng xe phải có mui che mưa, nắng và có ghế chắc chắn cho học sinh ngồi, tên cơ sở đào tạo được kẻ trên xe theo quy định; có giấy phép xe tập lái do cơ quan có thẩm quyền cấp còn hiệu lực; nộp phí sử dụng đường bộ theo quy định.||||3|1|0|1|1|1
Người có giấy phép lái xe hạng B2 được điều khiển loại xe nào?|1 - Xe ô tô chở người trên 9 chỗ ngồi; xe ô tô tải; máy kéo có trọng tải trên 3,5 tấn.|2- Xe ô tô chở người đến 9 chỗ ngồi; xe ô tô tải; máy kéo có trọng tải dưới 3,5 tấn.|3- Xe ô tô chở người từ 10 đến 30 chỗ ngồi; xe ô tô tải; máy kéo có trọng tải trên 3,5 tấn.|||2|1|0|1|1|1
Người có giấy phép lái xe hạng C được điều khiển loại xe nào?|1 - Xe ô tô chở người trên 9 chỗ ngồi; xe ô tô tải; máy kéo có trọng tải trên 3,5 tấn.|2- Xe ô tô chở người từ 10 đến 30 chỗ ngồi; xe ô tô tải; máy kéo có trọng tải trên 3,5 tấn.|3- Xe ô tô chở người đến 9 chỗ ngồi; xe ô tô tải; máy kéo có trọng tải trên 3,5 tấn.|||4|1|0|1|1|1
Người lái xe phải giảm tốc độ đến mức không gây nguy hiểm (có thể dừng lại một cách an toàn) trong trường hợp nào?|1- Khi có biển báo hiệu hạn chế tốc độ hoặc có chướng ngại vật trên đường; khi tầm nhìn bị hạn chế; khi qua nơi đường giao nhau, nơi đường bộ giao nhau với đường sắt, đường vòng, đoạn đường gồ ghề, trơn trượt, cát bụi.|2- Khi qua cầu, cống hẹp; khi lên gần đỉnh dốc, khi xuống dốc, khi qua trường học, nơi tập trung đông người, nơi đông dân, có nhà cửa gần đường.|3- Khi điều khiển xe vượt xe khác trên đường quốc lộ.|||3|1|0|1|1|1
Khi gặp một đoàn xe, một đoàn xe tang hay gặp một đoàn người có tổ chức theo đội ngũ, người lái xe phải xử lý như thế nào?|1- Bóp còi, rú ga để cắt qua đoàn người, đoàn xe.|2- Không được cắt ngang qua đoàn người, đoàn xe.|3- Báo hiệu từ từ cho xe đi qua để bảo đảm an toàn.|||2|1|0|1|1|1
Người đủ bao nhiêu tuổi trở lên thì được điều khiển xe ô tô tải, máy kéo có trọng tải từ 3,5 tấn trở lên; xe hạng B2 kéo rơ moóc (FB2)?|1- 19 tuổi.|2- 21 tuổi.|3- 20 tuổi.|||2|1|0|1|1|1
Người đủ bao nhiêu tuổi trở lên thì được điều khiển xe mô tô hai bánh, xe mô tô ba bánh có dung tích xi lanh từ 50 cm3 trở lên và các loại xe có kết cấu tương tự; xe ô tô tải, máy kéo có trọng tải dưới 3,5 tấn; xe ô tô chở người đến 9 chỗ ngồi?|1- 16 tuổi.|2- 18 tuổi.|3- 17 tuổi.|||2|1|1|1|1|1
Tại ngã ba hoặc ngã tư không có đảo an toàn, người lái xe phải nhường đường như thế nào là đúng trong các trường hợp dưới đây?|1- Nhường đường cho xe đi trên đường nhánh từ bất kỳ hướng nào tới.|2- Nhường đường cho người đi bộ đang đi trên phần đường dành cho người đi bộ sang đường.|3- Nhường đường cho xe đi trên đường ưu tiên, đường chính từ bất kỳ hướng nào tới, nhường đường cho xe ưu tiên, nhường đường cho xe đi từ bên phải đến.|||6|1|1|1|1|1
Người lái xe ô tô chở người trên 30 chỗ ngồi (hạng E), lái xe hạng D kéo rơ moóc (FD) phải đủ bao nhiêu tuổi trở lên?|1 - 23 tuổi.|2- 24 tuổi.|3- 27 tuổi.|||4|1|0|1|1|1
Tuổi tối đa của người lái xe ô tô chở người trên 30 chỗ ngồi (hạng E) là bao nhiêu tuổi?|1- 55 tuổi đối với nam và 50 tuổi đối với nữ.|2- 55 tuổi đối với nam và nữ.|3- 60 tuổi đối với nam và 55 tuổi đối với nữ.|||1|1|0|1|1|1
Người lái xe chở người từ 10 đến 30 chỗ ngồi (hạng D), lái xe hạng C kéo rơ moóc (FC) phải đủ bao nhiêu tuổi trở lên?|1- 23 tuổi|2- 24 tuổi.|3- 22 tuổi.|||2|1|0|1|1|1
Người đủ 16 tuổi được điều khiển các loại xe nào dưới đây?|1- Xe mô tô 2 bánh có dung tích từ 50 cm3 trở lên.|2- Xe gắn máy có dung tích từ 50 cm3 trở xuống.|3- Xe ô tô tải dưới 3,5 tấn; xe chở người đến 9 chỗ ngồi.|4- Tất cả các ý trên.||2|1|1|1|1|1
Việc sát hạch cấp giấy phép lái xe ô tô phải thực hiện ở đâu và như thế nào?|1- Tại các cơ sở đào tạo lái xe.|2- Tại sân tập lái của cơ sở đào tạo lái xe và phải đảm bảo công khai, minh bạch.|3- Tại các trung tâm sát hạch lái xe có đủ điều kiện và phải bảo đảm công khai, minh bạch.|||4|1|0|1|1|1
Người có giấy phép lái xe hạng FC được điều khiển các loại xe nào?|1 - Các loại xe được quy định tại giấy phép lái xe hạng C có kéo rơ moóc, ô tô đầu kéo kéo sơ mi rơ moóc, ô tô chở khách nối toa và được điều khiển các loại xe quy định cho giấy phép lái xe hạng B1, B2 và FB2.|2- Các loại xe được quy định tại giấy phép lái xe hạng C có kéo rơ moóc, ô tô đầu kéo kéo sơ mi rơ moóc và được điều khiển các loại xe quy định cho giấy phép lái xe hạng B1, B2, C và FB2.|3- Mô tô hai bánh, các loại xe được quy định tại giấy phép lái xe hạng C có kéo rơ moóc, ô tô đầu kéo kéo sơ mi rơ moóc và được điều khiển các loại xe quy định cho giấy phép lái xe hạng B1, B2, C và FB2.|4- Tất cả các loại xe nêu trên.||2|1|0|1|0|1
Người có giấy phép lái xe hạng FE được điều khiển các loại xe nào?|1- Các loại xe được quy định tại giấy phép lái xe hạng E có kéo rơ moóc và được điều khiển các loại xe: ô tô chở khách nối toa và các loại xe quy định cho giấy phép lái xe hạng B1, B2, C, D, FB2, FD.|2- Các loại xe được quy định tại giấy phép lái xe hạng E có kéo rơ moóc, đầu kéo kéo sơ mi rơ moóc và được điều khiển các loại xe: ô tô chở khách nối toa và các loại xe quy định cho giấy phép lái xe hạng B1, B2, C, D, FB2, FD.|3- Tất cả các loại xe nêu trên.|||1|1|0|1|0|1
Khi điều khiển xe cơ giới, người lái xe phải bật đèn tín hiệu báo rẽ trong trường hợp nào sau đây?|1- Khi cho xe chạy thẳng.|2- Trước khi thay đổi làn đường.|3- Sau khi thay đổi làn đường.|||2|1|0|1|1|1
Trong các trường hợp nào sau đây, người lái xe không được vượt xe khác?|1- Xe bị vượt bất ngờ tăng tốc độ.|2- Xe bị vượt giảm tốc độ và nhường đường.|3- Phát hiện có xe đi ngược chiều.|||5|1|0|1|0|1
Trên đường một chiều, trước khi đến vạch người đi bộ qua đường có một xe tải đang dừng trước làn đường bên phải, người lái xe phải làm gì nếu xe của mình đang đi trên làn đường bên trái?|1- Ra tín hiệu cảnh báo và vượt qua xe tải.|2- Quan sát, giảm tốc độ hoặc dừng lại vì có thể có người đi bộ qua đường, sau đó đi tiếp.|3- Nhanh chóng vượt qua nếu không nhìn thấy người đi bộ qua đường từ bên trái.|||2|1|0|1|1|1
Khi lái xe trên đường vắng mà cảm thấy buồn ngủ, người lái xe nên chọn cách xử lý như thế nào cho phù hợp?|1- Tăng tốc độ kết hợp với nghe nhạc để đi tiếp.|2- Dừng xe và nghỉ cho đến khi hết buồn ngủ.|3- Sử dụng một ít rượu và bia để hết buồn ngủ và đi tiếp.|||2|1|0|1|1|1
Trên đường cao tốc, người lái xe xử lý như thế nào khi vượt quá lối ra của đường định rẽ?|1- Quay xe, chạy trên lề đường bên phải và rẽ khỏi đường cao tốc.|2- Lùi xe sát lề đường bên phải và rẽ khỏi đường cao tốc.|3- Tiếp tục chạy đến lối ra tiếp theo.|||4|1|0|1|1|1
Khi phát hiện hành vi giả khai báo mất hoặc tẩy xóa, làm sai lệch các thông tin trên giấy phép lái xe; sử dụng giấy phép lái xe hoặc đổi hồ sơ lái xe giả; có hành vi cố tình gian dối để được đổi, cấp mới, cấp lại giấy phép lái xe, ngoài việc bị cơ quan quản lý giấy phép lái xe ra quyết định thu hồi giấy phép lái xe và hồ sơ gốc còn phải chịu trách nhiệm trước pháp luật, người lái xe không được cấp giấy phép lái xe trong thời gian bao nhiêu năm?|1- 05 năm.|2- 03 năm.|3- 02 năm.|||1|1|1|1|1|1
Người lái xe mô tô xử lý như thế nào khi cho xe mô tô phía sau vượt?|1- Lái xe vào lề đường bên phải và giảm tốc độ để xe phía sau vượt qua.|2- Lái xe vào lề đường bên trái và giảm tốc độ để xe phía sau vượt qua.|3- Lái xe vào lề đường bên phải và tăng tốc độ để xe phía sau vượt qua.|||1|1|1|1|1|1
Khi xe ô tô đi ngược chiều đến rất gần, xe ô tô phía sau cùng chiều cố tình vượt, người lái xe xử lý như thế nào?|1- Giữ nguyên làn đường và tăng tốc độ.|2- Giảm tốc độ và lái xe sát vào lề đường bên phải.|3- Tiếp tục chạy mà không giảm tốc độ.|||2|1|0|1|1|1
Khi xe ô tô bị hỏng tại vị trí giao nhau giữa đường bộ và đường sắt, người lái xe xử lý như thế nào?|1- Nhanh chóng đưa xe ô tô ra khỏi đường sắt hoặc tìm cách báo hiệu để đoàn tàu dừng lại.|2- Đặt biển cảnh báo nguy hiểm tại vị trí xe ô tô bị hỏng để đoàn tàu dừng lại.|3- Cả hai ý nêu trên.|||1|1|0|1|1|1
Trong các trường hợp dưới đây, để đảm bảo an toàn khi tham gia giao thông, người lái xe mô tô cần thực hiện như thế nào?|1- Phải đội mũ bảo hiểm có cài quai đúng quy cách, mặc quần áo gọn gàng.|2- Không sử dụng ô, điện thoại di động, thiết bị âm thanh (trừ thiết bị trợ thính).|3- Buông cả hai tay hoặc đi xe bằng một bánh.|4- Tất cả các ý nêu trên.||3|1|1|1|1|1
Đường bộ trong khu vực đông dân cư gồm những đường nào?|1- Đường bộ nằm trong khu vực nội thành phố, nội thị xã, nội thị trấn, khu công nghiệp có đông người và phương tiện tham gia giao thông.|2- Đường bộ nằm trong khu vực nội thành phố, nội thị xã và những đoạn đường bộ được xác định từ vị trí có hiệu lực của biển báo hiệu \"Bắt đầu khu đông dân cư\" đến vị trí có hiệu lực của biển báo hiệu \"Hết khu đông dân cư\".|3- Đường bộ có đông người, phương tiện tham gia giao thông và những đoạn đường bộ được xác định từ vị trí có hiệu lực của biển báo hiệu \"Bắt đầu khu đông dân cư\" đến vị trí có hiệu lực của biển báo hiệu \"Hết khu đông dân cư\".|||2|1|1|1|1|1
Xe máy kéo, xe công nông, xe lam, xe lôi máy, xe xích lô máy, xe ba gác máy, xe máy chuyên dùng và các loại xe tương tự (loại đang được phép hoạt động) tham gia giao thông với tốc độ tối đa cho phép là bao nhiêu?|1- 60km/h.|2- 50km/h.|3- 40km/h.|4- 30km/h.||8|1|0|0|0|0
